,SPX1D,SPX3D,SPX7D,SPX14D
minneapolis_titantextpremier,0.11396326121392956,0.13930166769657834,-0.28392033553385804,0.08299838319569028
new_york_claude35sonnet,-0.5805108991266458,-1.1156674040364225,-1.028088516815294,-0.7437206929569428
new_york_coherecommandrplus,1.5654726648015866,2.5243433733955936,5.417983841513004,4.394918464307895
new_york_metallama370b,1.1234914130843607,-2.6350996559426942,-3.631149898742341,-3.970793425704962
new_york_mistrallarge2402,1.7584439671906016,6.426680123979364,1.7993642330291926,-19.37211861230696
new_york_titantextpremier,-1.3689685760851014,-8.470048959461135,-14.154126266296936,-7.91659544948099
philadelphia_claude35sonnet,0.0,0.0,0.0,0.0
philadelphia_coherecommandrplus,-1.399953189092885,5.8660181249549135,15.85776480328411,16.02205386466356
philadelphia_metallama370b,0.0,0.0,0.0,0.0
philadelphia_mistrallarge2402,0.0,0.0,0.0,0.0
philadelphia_titantextpremier,0.023082788021028096,-0.15863363719904197,0.9145716014134859,0.9100410237552847
richmond_claude35sonnet,0.0,0.0,0.0,0.0
richmond_coherecommandrplus,2.7380671722225056,2.722519562912702,-1.4179231004964366,-6.915532187127145
richmond_metallama370b,0.0,0.0,0.0,0.0
richmond_mistrallarge2402,-3.4650482745069806,-11.354322744972736,-12.357377496627093,-12.57868684297548
richmond_titantextpremier,0.3571027612559796,-1.261171204323442,1.008447165143448,-1.6047482227129974
san_francisco_claude35sonnet,0.0,0.0,0.0,0.0
san_francisco_coherecommandrplus,0.0,0.0,0.0,0.0
san_francisco_metallama370b,0.22073820820526005,-2.9901908852820296,-13.22640867435835,-21.726625355900044
san_francisco_mistrallarge2402,0.0,0.0,0.0,0.0
san_francisco_titantextpremier,0.0,0.0,0.0,0.0
st_louis_claude35sonnet,0.0,0.0,0.0,0.0
st_louis_coherecommandrplus,0.2820580827821959,-0.627993047195734,-1.9758452606899517,-2.6610379322804647
st_louis_metallama370b,-1.691137336197324,-5.0620062759939,-2.240136223696172,0.25349695645887893
