Date,Actual_SPX1D,Predicted_SPX1D,Actual_SPX3D,Predicted_SPX3D,Actual_SPX7D,Predicted_SPX7D,Actual_SPX14D,Predicted_SPX14D
2013-01-16 00:00:00,8.31,-9.02183940046581,19.93,-13.286032683599876,27.55,-2.851022704137108,39.49,18.156381239207306
2013-03-06 00:00:00,2.8,4.642202838416945,14.76,-11.177774906511965,19.24,-2.175994050618698,22.31,5.4522402839381945
2013-04-17 00:00:00,-10.4,-1.8429263110007228,10.49,2.840080973503639,30.23,3.734827615688901,73.95,-1.8749132059628888
2013-06-05 00:00:00,13.66,-1.6753677639392137,33.91,-4.199631365005342,17.83,4.34116428717334,-20.87,15.26027240422812
2013-07-17 00:00:00,8.46,15.619550275816007,14.62,23.0299633323428,10.74,14.323669664470275,16.46,-1.207250062355369
2013-09-04 00:00:00,2.0,8.095351962505893,18.63,-0.5279665206517277,34.91,-0.015300548306490747,44.34,-3.1548718471024113
2013-10-16 00:00:00,11.61,10.266919614210266,23.12,31.37786780995456,38.23,68.10444449942453,41.43,84.22085029179829
2013-12-04 00:00:00,-7.78,-2.5215356016887225,15.56,-8.62849961296645,-17.49,-12.244124066315141,40.51,-12.380653335081707
2014-01-15 00:00:00,-2.49,-2.807900430496754,-4.58,-19.16450105112508,-66.82,-26.435127850874718,-96.74,-36.46647274197633
2014-03-05 00:00:00,3.22,-6.630647806972655,3.36,-15.655448653229271,-32.68,-14.177578268204385,-8.19,35.06147378146534
2014-04-16 00:00:00,2.54,1.548813536859969,17.24,-1.6974523682493676,7.12,-15.273020573362132,15.9,10.486443319295306
2014-06-04 00:00:00,12.58,4.538217831494934,23.39,3.1569955909286747,8.28,-6.402074075674848,22.1,-20.234801517917184
2014-07-16 00:00:00,-23.45,-7.518103806891721,-7.94,13.407357353245505,-3.23,38.60298577344574,-61.36,17.52420337161129
2014-09-03 00:00:00,-3.07,-6.920417825183928,0.82,3.4374639848809387,-15.18,48.375422226917024,-17.95,71.02329126472192
2014-10-15 00:00:00,0.27,-11.770745562499156,41.52,-4.846242160059093,102.09,37.71098724299125,149.61,47.229344631828695
2014-12-03 00:00:00,-2.41,-3.8120777265306813,-14.02,6.367449951556436,-72.0,10.638121188801662,7.84,-5.982886480601392
2015-01-14 00:00:00,-18.6,-2.3322295194673233,11.28,5.8504482382776,45.82,12.868235903808529,30.24,-2.5593350026845005
2015-03-04 00:00:00,2.51,7.6505608193433465,-19.1,33.43067482105184,-45.13,36.38534416441064,-7.03,14.5025837190236
2015-04-15 00:00:00,-1.64,-0.6733283003023461,-6.23,-0.20208470055821914,11.06,7.785607913324359,-17.17,3.403692243871588
2015-06-03 00:00:00,-18.23,-7.4452028327216295,-34.79,9.282829674927173,-19.96,18.666688846560916,10.13,-4.691870375887653
2015-07-15 00:00:00,16.89,5.906192956482788,20.88,11.52423143364409,-27.75,-19.835613671745875,-14.08,-37.601728767430174
2015-09-02 00:00:00,2.27,-3.57256436329236,20.55,-9.102561742060058,4.17,-42.66320826194024,-10.1,-57.73599015105786
2015-10-14 00:00:00,29.62,4.564898665753555,39.42,1.58301364536982,80.91,13.998550720008163,115.55,43.18953926403424
2015-12-02 00:00:00,-29.89,-7.1012398118045255,-2.44,-6.236809325821126,-67.14,6.933645313387501,-40.54,43.74225482977039
2016-01-13 00:00:00,31.56,-1.0992695253846534,-8.95,-38.17808630425297,-13.2,-66.13813408624816,22.25,-46.77337486381846
2016-03-02 00:00:00,6.95,-5.47037159339299,15.31,12.189371950906633,35.74,46.020065581793034,63.35,69.55231832414727
2016-04-13 00:00:00,0.36,-4.8777362061258005,11.92,1.1775151759640445,9.16,-27.61581392762923,-19.05,-59.374977305426555
2016-06-01 00:00:00,5.93,6.654943474851326,10.08,8.846590144194995,-3.26,33.1692251960075,-10.43,64.89070179783532
2016-07-13 00:00:00,11.32,-9.203316048176255,14.46,3.109189242630911,22.6,26.238967040703216,4.6,44.08983777095045
2016-09-07 00:00:00,-4.86,-9.923794702484729,-27.12,-37.18575714780211,-47.0,-46.878546284794396,-26.23,-37.40327119530298
2016-10-19 00:00:00,-2.95,-4.215662614481839,7.04,-2.9738303653285976,-17.88,20.742577099569722,-4.73,64.83266318636812
2016-11-30 00:00:00,-7.73,-4.00984393196619,5.9,14.872909657075907,60.72,35.90158196093776,71.95,67.17202443567851
2017-01-18 00:00:00,-8.2,-6.714476055877757,-6.69,-1.642560896854031,22.8,-7.837897033544941,21.19,-37.85574194852961
2017-03-01 00:00:00,-14.04,5.863191294175811,-20.65,27.350414794495297,-23.36,48.98592398665329,-51.94,15.431729153034782
2017-04-19 00:00:00,17.67,7.004049334738287,35.98,30.55012046697608,46.03,54.47115549290052,58.75,39.14461796463861
2017-05-31 00:00:00,18.26,5.536988093206185,24.3,-2.6973557234430756,19.97,-9.128178913506522,25.23,-10.58816721851652
2017-07-12 00:00:00,4.58,-3.0062622496298332,15.89,-12.688629628692068,29.29,-26.57069287103993,33.1,-54.425362055738034
2017-09-06 00:00:00,-0.44,8.548245284948095,22.57,18.625947306481006,34.69,38.3755899521808,31.3,32.183456610616204
2017-10-18 00:00:00,0.84,-4.810160033884627,3.72,1.6074677675139397,19.81,13.914747436096022,29.38,-4.674339578151567
2017-11-29 00:00:00,21.51,14.155816234336378,13.37,20.91406071949683,25.43,16.558616919196886,55.4,2.2527473652252565
2018-01-17 00:00:00,-4.53,0.038767232601160995,30.41,-5.096924591130534,70.31,23.456360438135196,-107.42,35.7873415272351
