Date,atlanta,boston,chicago,cleveland,dallas,kansas_city,minneapolis,new_york,philadelphia,richmond,san_francisco,st_louis,national_summary
1970-05,745,804,1007,867,976,786,1212,705,733,699,981,573,392
1970-06,821,1264,1105,986,1119,850,929,1089,570,885,1085,830,1232
1970-07,824,788,905,872,875,1061,1027,1232,558,954,702,748,1078
1970-08,843,648,790,913,980,1036,978,743,526,786,717,710,655
1970-09,776,1004,1114,658,965,783,965,842,443,809,920,656,392
1970-10,812,774,1027,796,898,1062,1008,954,407,810,925,627,939
1970-11,949,1279,945,902,1071,1113,951,902,735,803,856,795,913
1970-12,1166,908,933,789,1181,753,958,927,1015,874,844,553,1206
